fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality
6,1;,45;,27;,8;,039;13;82;,9927;3,23;,32;9,5;3
7,4;,23;,43;1,4;,044;22;113;,9938;3,22;,62;10,6;4
7,5;,14;,34;1,3;,055;50;153;,9945;3,29;,8;9,6;4
8,2;,61;,45;5,4;,03;15;118;,9954;3,14;,34;9,6;3
7,6;,21;,44;1,9;,036;10;119;,9913;3,01;,7;12,8;4
7,2;,26;,26;12,7;,036;49;214;,9986;3,41;,5;10;4
6,4;,25;,41;8,6;,042;57;173;,9965;3;,44;9,1;3
6,3;,32;,35;11,1;,039;29;198;,9984;3,36;,5;9,4;5
6,8;,25;,29;2;,042;19;189;,9952;3,46;,54;10,2;4
9,8;,44;,4;2,8;,036;35;167;,9956;2,97;,39;9,2;3
7,2;,2;,25;4,5;,044;31;109;,9949;3,23;,36;9,4;3
8,2;,61;,45;5,4;,03;15;118;,9954;3,14;,34;9,6;3
7,4;,22;,33;2;,045;31;101;,9931;3,42;,55;11,4;3
7,9;,46;,32;4,1;,033;40;138;,9912;3,18;,44;12,8;5
6,5;,41;,64;11,8;,065;65;225;,9978;3,12;,51;8,9;3
7,5;,32;,37;1,2;,048;22;184;,9938;3,09;,43;9,3;3
6,6;,21;,38;2,2;,026;40;104;,9914;3,25;,4;11,1;6
7,1;,21;,3;1,4;,037;45;143;,9932;3,13;,33;9,9;4
7,6;,26;,47;1,6;,068;5;55;,9944;3,1;,45;9,6;3
7,6;,21;,44;1,9;,036;10;119;,9913;3,01;,7;12,8;4
6,9;,25;,26;5,2;,024;36;135;,9948;3,16;,72;10,7;5
7,1;,26;,32;14,45;,074;29;107;,998;2,96;,42;9,2;4
7,3;,22;,4;14,75;,042;44,5;129,5;,9998;3,36;,41;9,1;5
6,2;,37;,22;8,3;,025;36;216;,9964;3,33;,6;9,6;4
7,9;,22;,45;14,2;,038;53;141;,9992;3,03;,46;9,2;4
6,9;,25;,26;5,2;,024;36;135;,9948;3,16;,72;10,7;5
7,3;,22;,4;14,75;,042;44,5;129,5;,9998;3,36;,41;9,1;5
7,1;,26;,32;14,45;,074;29;107;,998;2,96;,42;9,2;4
6,8;,18;,37;1,5;,027;37;93;,992;3,3;,45;10,8;4
6,4;,3;,38;7,8;,046;35;192;,9955;3,1;,37;9;3
5;,33;,16;1,5;,049;10;97;,9917;3,48;,44;10,7;4
5;,33;,16;1,5;,049;10;97;,9917;3,48;,44;10,7;4
7;,26;,46;15,55;,037;61;171;,9986;2,94;,35;8,8;4
6,4;,3;,38;7,8;,046;35;192;,9955;3,1;,37;9;3
6,3;,21;,4;1,7;,031;48;134;,9917;3,42;,49;11,5;4
8;,23;,46;1,5;,03;30;125;,9907;3,23;,47;12,5;4
9,2;,28;,41;1;,042;14;59;,9922;2,96;,25;10,5;4
7,3;,27;,39;6,7;,064;28;188;,9958;3,29;,3;9,7;3
5;,33;,16;1,5;,049;10;97;,9917;3,48;,44;10,7;4
9,7;,24;,45;1,2;,033;11;59;,9926;2,74;,47;10,8;4
8;,28;,42;7,1;,045;41;169;,9959;3,17;,43;10,6;3
8,2;,37;,36;1;,034;17;93;,9906;3,04;,32;11,7;6
8;,61;,38;12,1;,301;24;220;,9993;2,94;,48;9,2;3
7,2;,26;,44;7,1;,027;25;126;,993;3,02;,34;11,1;6
7,6;,28;,39;1,2;,038;21;115;,994;3,16;,67;10;4
8;,28;,42;7,1;,045;41;169;,9959;3,17;,43;10,6;3
6,8;,32;,37;3,4;,023;19;87;,9902;3,14;,53;12,7;4
7,2;,23;,39;2,3;,033;29;102;,9908;3,26;,54;12,3;5
6,9;,18;,38;6,5;,039;20;110;,9943;3,1;,42;10,5;3
8,3;,33;,42;1,15;,033;18;96;,9911;3,2;,32;12,4;1
7,3;,29;,3;13;,043;46;238;,9986;3,06;,41;8,7;4
7,9;,41;,37;4,5;,03;40;114;,992;3,17;,54;12,4;5
7,8;,32;,31;1,7;,036;46;195;,993;3,03;,48;10,5;3
6,8;,32;,37;3,4;,023;19;87;,9902;3,14;,53;12,7;4
7,3;,24;,39;3,6;,024;35;116;,9928;3,17;,51;10,9;3
7,1;,44;,37;2,7;,041;35;128;,9896;3,07;,43;13,5;5
10,3;,25;,48;2,2;,042;28;164;,998;3,19;,59;9,7;3
7,9;,14;,28;1,8;,041;44;178;,9954;3,45;,43;9,2;4
7,4;,18;,42;2,1;,036;33;187;,9938;3,4;,41;10,6;5
8,1;,43;,42;6,6;,033;36;141;,9918;2,98;,39;13,3;5
7,1;,44;,37;2,7;,041;35;128;,9896;3,07;,43;13,5;5
6,4;,26;,22;5,1;,037;23;131;,9944;3,29;,32;10,1;3
8;,66;,72;17,55;,042;62;233;,9999;2,92;,68;9,4;2
8;,2;,4;5,2;,055;41;167;,9953;3,18;,4;10,6;5
7,2;,21;,34;1,1;,046;25;80;,992;3,25;,4;11,3;4
7,2;,18;,31;1,1;,045;20;73;,9925;3,32;,4;10,8;5
8,4;,57;,44;10,7;,051;46;195;,9981;3,15;,51;10,4;3
5,3;,26;,23;5,15;,034;48;160;,9952;3,82;,51;10,5;5
5,7;,245;,33;1,1;,049;28;150;,9927;3,13;,42;9,3;3
5,6;,245;,32;1,1;,047;24;152;,9927;3,12;,42;9,3;4
7,3;,25;,41;1,8;,037;52;165;,9911;3,29;,39;12,2;5
7;,16;,73;1;,138;58;150;,9936;3,08;,3;9,2;3
6,4;,22;,34;1,8;,057;29;104;,9959;3,81;,57;10,3;4
7,3;,18;,65;1,4;,046;28;157;,9946;3,33;,62;9,4;4
6,4;,17;,27;6,7;,036;88;223;,9948;3,28;,35;10,2;4
6,9;,29;,16;6,8;,034;65;212;,9955;3,08;,39;9;4
6,2;,21;,38;6,8;,036;64;245;,9951;3,06;,36;9,3;4
6,4;,23;,3;7,1;,037;63;236;,9952;3,06;,34;9,2;4
7,3;,19;,68;1,5;,05;31;156;,9946;3,32;,64;9,4;4
7,3;,18;,65;1,4;,046;28;157;,9946;3,33;,62;9,4;4
9,6;,29;,46;1,45;,039;77,5;223;,9944;2,92;,46;9,5;4
7,2;,14;,35;1,2;,036;15;73;,9938;3,46;,39;9,9;3
6,9;,31;,34;7,4;,059;36;174;,9963;3,46;,62;11,1;5
7,5;,28;,34;4,2;,028;36;116;,991;2,99;,41;12,3;6
7,6;,31;,29;10,5;,04;21;145;,9966;3,04;,35;9,4;3
8,4;,35;,56;13,8;,048;55;190;,9993;3,07;,58;9,4;4
8;,22;,42;14,6;,044;45;163;1,0003;3,21;,69;8,6;5
8,1;,5;,47;1,1;,037;23;126;,9938;3,21;,42;10,9;3
8,1;,5;,47;1,1;,037;23;126;,9938;3,21;,42;10,9;3
8,4;,35;,56;13,8;,048;55;190;,9993;3,07;,58;9,4;4
6,2;,22;,27;1,5;,064;20;132;,9938;3,22;,46;9,2;4
8;,22;,42;14,6;,044;45;163;1,0003;3,21;,69;8,6;5
7,6;,31;,29;10,5;,04;21;145;,9966;3,04;,35;9,4;3
7;,24;,36;4,9;,083;10;133;,9942;3,33;,37;10,8;4
6,6;,27;,3;1,9;,025;14;153;,9928;3,29;,62;10,5;4
7,8;,16;,41;1,7;,026;29;140;,991;3,02;,78;12,5;4
7,7;,27;,34;1,8;,028;26;168;,9911;2,99;,48;12,1;5
7,4;,31;,74;10,7;,039;51;147;,9977;3,02;,43;8,7;3
8;,45;,36;8,8;,026;50;151;,9927;3,07;,25;12,7;6
7,7;,27;,34;1,8;,028;26;168;,9911;2,99;,48;12,1;5
6,6;,16;,29;1,8;,05;40;147;,9912;3,06;,44;11,4;5
7,2;,32;,33;1,4;,029;29;109;,9902;3,15;,51;12,8;5
6,6;,16;,3;1,6;,034;15;78;,992;3,38;,44;11,2;4
6,2;,17;,3;1,1;,037;14;79;,993;3,5;,54;10,3;4
6,9;,39;,22;4,3;,03;10;102;,993;3;,87;11,6;2
6,9;,41;,22;4,2;,031;10;102;,993;3;,86;11,6;2
7,5;,23;,32;9,2;,038;54;191;,9966;3,04;,56;9,7;4
7,5;,38;,33;5;,045;30;131;,9942;3,32;,44;10,9;4
7,8;,23;,28;4,75;,042;45;166;,9928;2,96;,4;11,5;3
7,4;,19;,42;6,4;,067;39;212;,9958;3,3;,33;9,6;4
8,2;,2;,36;8,1;,035;60;163;,9952;3,05;,3;10,3;4
8;,59;,71;17,35;,038;61;228;1;2,95;,75;9,3;3
7,9;,14;,45;1,8;,05;17;114;,9948;3,33;,49;10,7;5
6,8;,24;,4;1,8;,047;34;105;,99;3,13;,49;12,8;6
9,7;,14;,59;1,5;,049;23;142;,9958;2,98;,62;9,5;3
9,2;,15;,68;1,6;,046;22;130;,9948;3,02;,45;10,4;4
9,4;,17;,55;1,6;,049;14;94;,9949;3,02;,61;10,3;4
5,2;,365;,08;13,5;,041;37;142;,997;3,46;,39;9,9;4
6,3;,23;,22;3,75;,039;37;116;,9927;3,23;,5;10,7;4
9,6;,25;,54;1,3;,04;16;160;,9938;2,94;,43;10,5;3
9,2;,32;,42;1,3;,046;14;186;,9949;3,08;,48;9,6;3
6,4;,31;,4;6,2;,04;46;169;,9953;3,15;,46;9,3;4
7,9;,255;,26;2;,026;40;190;,9932;3,04;,39;11,2;4
6,4;,15;,31;1,1;,044;25;96;,9932;3,54;,51;10,3;4
6,4;,25;,53;6,6;,038;59;234;,9955;3,03;,42;8,8;3
7,6;,19;,42;1,5;,044;6;114;,9914;3,04;,74;12,8;4
7,3;,43;,37;4,6;,028;17;114;,991;3,23;,43;13,2;4
6,2;,2;,26;1,7;,093;40;161;,9924;3,44;,66;11;3
6,9;,16;,35;1,3;,043;21;182;,9927;3,25;,62;10,8;4
7,7;,32;,48;2,3;,04;28;114;,9911;3,2;,52;12,8;5
6,5;,22;,72;6,8;,042;33;168;,9958;3,12;,36;9,2;4
6,8;,26;,33;1,5;,047;44;167;,9928;3,12;,44;10,5;4
8,4;,19;,43;2,1;,052;20;104;,994;2,85;,46;9,5;3
8,3;,21;,41;2,2;,05;24;108;,994;2,85;,45;9,5;3
6,8;,15;,32;8,8;,058;24;110;,9972;3,4;,4;8,8;4
7,8;,21;,39;1,8;,034;62;180;,991;3,09;,75;12,6;6
9;,24;,5;1,2;,048;26;107;,9918;3,21;,34;12,4;4
7,8;,29;,36;7;,042;38;161;,9941;3,26;,37;11,2;6
6,7;,18;,3;6,4;,048;40;251;,9956;3,29;,52;10;3
8,4;,58;,27;12,15;,033;37;116;,9959;2,99;,39;10,8;4
7,2;,16;,32;,8;,04;50;121;,9922;3,27;,33;10;4
7,6;,54;,23;2;,029;13;151;,9931;3,04;,33;10,4;3
6,6;,25;,31;12,4;,059;52;181;,9984;3,51;,47;9,8;4
7,3;,23;,37;1,9;,041;51;165;,9908;3,26;,4;12,2;6
8,2;,35;,4;6,3;,039;35;162;,9936;3,15;,34;11,9;5
7,8;,29;,36;7;,042;38;161;,9941;3,26;,37;11,2;6
9,2;,35;,39;,9;,042;15;61;,9924;2,96;,28;10,4;2
6,5;,37;,33;3,9;,027;40;130;,9906;3,28;,39;12,7;5
5,7;,21;,24;2,3;,047;60;189;,995;3,65;,72;10,1;4
6,7;,18;,3;6,4;,048;40;251;,9956;3,29;,52;10;3
7,8;,13;,3;1,8;,04;43;179;,9955;3,43;,41;9;3
6,3;,29;,4;6,5;,039;43;167;,9953;3,15;,44;9,3;4
6,5;,19;,32;1,4;,04;31;132;,9922;3,36;,54;10,8;5
6,2;,12;,26;5,7;,044;56;158;,9951;3,52;,37;10,5;4
6;,13;,28;5,7;,038;56;189,5;,9948;3,59;,43;10,6;5
6,4;,25;,33;1,4;,04;42;115;,9906;3,19;,48;11,3;5
6,9;,32;,16;1,4;,051;15;96;,994;3,22;,38;9,5;2
7,6;,19;,41;1,1;,04;38;143;,9907;2,92;,42;11,4;3
6,7;,13;,28;1,2;,046;35;140;,9927;3,33;,33;10,1;5
7,3;,22;,41;15,4;,05;55;191;1;3,32;,59;8,9;4
7,4;,64;,47;14,15;,168;42;185;,9984;2,9;,49;9,3;3
8,3;,26;,41;9,2;,042;41;162;,9944;3,1;,38;12;5
10,7;,22;,56;8,2;,044;37;181;,998;2,87;,68;9,5;4
10,7;,22;,56;8,2;,044;37;181;,998;2,87;,68;9,5;4
6,9;,23;,34;2,7;,032;24;121;,9902;3,14;,38;12,4;5
6,2;,3;,32;1,7;,032;30;130;,9911;3,28;,41;11,2;5
6,9;,27;,41;1,7;,047;6;134;,9929;3,15;,69;11,4;4
6,9;,28;,41;1,7;,05;10;136;,993;3,16;,71;11,4;4
6,9;,46;,2;,9;,054;5;126;,992;3,1;,42;10,4;4
5,7;,43;,3;5,7;,039;24;98;,992;3,54;,61;12,3;5
6,6;,56;,16;3,1;,045;28;92;,994;3,12;,35;9,1;4
7,1;,36;,56;1,3;,046;25;102;,9923;3,24;,33;10,5;4
6,8;,23;,4;1,6;,047;5;133;,993;3,23;,7;11,4;4
6,6;,42;,33;2,8;,034;15;85;,99;3,28;,51;13,4;4
7,3;,18;,29;1,2;,044;12;143;,9918;3,2;,48;11,3;5
8,1;,19;,4;,9;,037;73;180;,9926;3,06;,34;10;4
5,9;,19;,26;7,4;,034;33;123;,995;3,49;,42;10,1;4
6,6;,42;,33;2,8;,034;15;85;,99;3,28;,51;13,4;4
5,6;,49;,13;4,5;,039;17;116;,9907;3,42;,9;13,7;5
6,9;,19;,33;1,6;,039;27;98;,9898;3,09;,46;12,3;5
7,3;,25;,36;13,1;,05;35;200;,9986;3,04;,46;8,9;5
7,3;,25;,36;13,1;,05;35;200;,9986;3,04;,46;8,9;5
7;,2;,34;5,7;,035;32;83;,9928;3,19;,46;11,5;4
7,3;,25;,36;13,1;,05;35;200;,9986;3,04;,46;8,9;5
6,3;,67;,48;12,6;,052;57;222;,9979;3,17;,52;9,3;4
7,1;,26;,31;2,2;,044;29;128;,9937;3,34;,64;10,9;6
9;,31;,48;6,6;,043;11;73;,9938;2,9;,38;11,6;3
6,3;,39;,24;6,9;,069;9;117;,9942;3,15;,35;10,2;2
7,3;,25;,36;13,1;,05;35;200;,9986;3,04;,46;8,9;5
7,9;,2;,34;1,2;,04;29;118;,9932;3,14;,41;10,6;4
7;,2;,34;5,7;,035;32;83;,9928;3,19;,46;11,5;4
6,9;,3;,33;4,1;,035;26;155;,9925;3,25;,79;12,3;6
8,1;,29;,49;7,1;,042;22;124;,9944;3,14;,41;10,8;4
5,9;,415;,02;,8;,038;22;63;,9932;3,36;,36;9,3;3
6,6;,23;,26;1,3;,045;16;128;,9934;3,36;,6;10;4
8,6;,55;,35;15,55;,057;35,5;366,5;1,0001;3,04;,63;11;1
6,9;,35;,74;1;,044;18;132;,992;3,13;,55;10,2;3
7,6;,14;,74;1,6;,04;27;103;,9916;3,07;,4;10,8;5
9,2;,28;,49;11,8;,042;29;137;,998;3,1;,34;10,1;2
5,3;,165;,24;1,1;,051;25;105;,9925;3,32;,47;9,1;3
9,8;,25;,74;10;,056;36;225;,9977;3,06;,43;10;2
6,8;,22;,49;,9;,052;26;128;,991;3,25;,35;11,4;4
7,2;,22;,49;1;,045;34;140;,99;3,05;,34;12,7;4
8,2;,18;,49;1,1;,033;28;81;,9923;3;,68;10,4;5
6,1;,22;,49;1,5;,051;18;87;,9928;3,3;,46;9,6;3
7;,39;,24;1;,048;8;119;,9923;3;,31;10,1;2
6,1;,22;,49;1,5;,051;18;87;,9928;3,3;,46;9,6;3
6,5;,36;,49;2,9;,03;16;94;,9902;3,1;,49;12,1;5
7,1;,29;,49;1,2;,031;32;99;,9893;3,07;,33;12,2;4
7,4;,25;,49;1,1;,042;35;156;,9917;3,13;,55;11,3;3
6,9;,23;,24;14,2;,053;19;94;,9982;3,17;,5;9,6;3
8,5;,56;,74;17,85;,051;51;243;1,0005;2,99;,7;9,2;3
6,3;,23;,49;7,1;,05;67;210;,9951;3,23;,34;9,5;3
6,1;,25;,49;7,6;,052;67;226;,9956;3,16;,47;8,9;3
7,2;,26;,74;13,6;,05;56;162;,998;3,03;,44;8,8;3
7,2;,31;,24;1,4;,057;17;117;,9928;3,16;,35;10,5;3
8;,25;,49;1,2;,061;27;117;,9938;3,08;,34;9,4;3
7;,18;,49;5,3;,04;34;125;,9914;3,24;,4;12,2;4
7,8;,43;,49;13;,033;37;158;,9955;3,14;,35;11,3;4
8,3;,2;,74;4,45;,044;33;130;,9924;3,25;,42;12,2;4
7,4;,16;,49;1,2;,055;18;150;,9917;3,23;,47;11,2;4
7,4;,16;,49;1,2;,055;18;150;,9917;3,23;,47;11,2;4
6,9;,19;,49;6,6;,036;49;172;,9932;3,2;,27;11,5;4
7,8;,43;,49;13;,033;37;158;,9955;3,14;,35;11,3;4
7,8;,43;,49;13;,033;37;158;,9955;3,14;,35;11,3;4
7,6;,52;,49;14;,034;37;156;,9958;3,14;,38;11,8;5
8,3;,21;,49;19,8;,054;50;231;1,0012;2,99;,54;9,2;3
6,9;,34;,74;11,2;,069;44;150;,9968;3;,81;9,2;3
6,3;,27;,49;1,2;,063;35;92;,9911;3,38;,42;12,2;4
8,3;,2;,74;4,45;,044;33;130;,9924;3,25;,42;12,2;4
7,1;,22;,74;2,7;,044;42;144;,991;3,31;,41;12,2;4
7,9;,11;,49;4,5;,048;27;133;,9946;3,24;,42;10,6;4
6,4;,145;,49;5,4;,048;54;164;,9946;3,56;,44;10,8;4
7,4;,16;,49;1,2;,055;18;150;,9917;3,23;,47;11,2;4
8,3;,19;,49;1,2;,051;11;137;,9918;3,06;,46;11;4
8;,44;,49;9,1;,031;46;151;,9926;3,16;,27;12,7;6
7;,2;,74;,8;,044;19;163;,9931;3,46;,53;10,2;3
7,1;,25;,49;3;,03;30;96;,9903;3,13;,39;12,3;5
6,5;,24;,24;1,6;,046;15;60;,9928;3,19;,39;9,8;3
7,2;,4;,49;1,1;,048;11;138;,9929;3,01;,42;9,3;3
7,8;,43;,49;13;,033;37;158;,9955;3,14;,35;11,3;4
7,8;,21;,49;1,35;,052;6;48;,9911;3,15;,28;11,4;3
7;,2;,49;5,9;,038;39;128;,9938;3,21;,48;10,8;4
6,9;,25;,24;3,6;,057;13;85;,9942;2,99;,48;9,5;2
7,2;,08;,49;1,3;,05;18;148;,9945;3,46;,44;10,2;4
7,1;,85;,49;8,7;,028;40;184;,9962;3,22;,36;10,7;3
7,6;,51;,24;1,2;,04;10;104;,992;3,05;,29;10,8;4
7,9;,22;,24;4,6;,044;39;159;,9927;2,99;,28;11,5;4
7,7;,16;,49;2;,056;20;124;,9948;3,32;,49;10,7;4
7,2;,08;,49;1,3;,05;18;148;,9945;3,46;,44;10,2;4
6,6;,25;,24;1,7;,048;26;124;,9942;3,37;,6;10,1;4
6,7;,16;,49;2,4;,046;57;187;,9952;3,62;,81;10,4;4
6,9;,25;,24;3,6;,057;13;85;,9942;2,99;,48;9,5;2
7,5;,32;,24;4,6;,053;8;134;,9958;3,14;,5;9,1;1
7,4;,28;,49;1,5;,034;20;126;,9918;2,98;,39;10,6;4
6,2;,15;,49;,9;,033;17;51;,9932;3,3;,7;9,4;4
6,5;,26;,74;13,3;,044;68;224;,9972;3,18;,54;9,5;4
5,6;,185;,49;1,1;,03;28;117;,9918;3,55;,45;10,3;4
7,5;,2;,49;1,3;,031;8;97;,9918;3,06;,62;11,1;3
8;,3;,49;9,4;,046;47;188;,9964;3,14;,48;10;3
7,7;,35;,49;8,65;,033;42;186;,9931;3,14;,38;12,4;6
7,6;,29;,49;9,6;,03;45;197;,9938;3,13;,38;12,3;5
6,8;,27;,49;1,2;,044;35;126;,99;3,13;,48;12,1;5
7,7;,27;,49;1,8;,041;23;86;,9914;3,16;,42;12,5;4
6,7;,51;,24;2,1;,043;14;155;,9904;3,22;,6;13;4
7,4;,19;,49;9,3;,03;26;132;,994;2,99;,32;11;5
8,3;,2;,49;1,7;,04;34;169;,9938;3,05;,37;10,1;3
6,6;,3;,24;1,2;,034;17;121;,9933;3,13;,36;9,2;3
6,8;,36;,24;4,6;,039;24;124;,9909;3,27;,34;12,6;5
7;,17;,74;12,8;,045;24;126;,9942;3,26;,38;12,2;6
8,1;,2;,49;8,1;,051;51;205;,9954;3,1;,52;11;4
7,8;,26;,74;7,5;,044;59;160;,996;3,22;,64;10;4
7,9;,2;,49;1,6;,053;15;144;,993;3,16;,47;10,5;3
8;,18;,49;1,8;,061;10;145;,9942;3,23;,48;10;3
8,8;,23;,74;3,2;,042;15;126;,9934;3,02;,51;11,2;4
7,3;,22;,49;9,4;,034;29;134;,9939;2,99;,32;11;5
7,3;,22;,49;9,9;,031;48;161;,9937;3,01;,28;11,2;4
7,4;,19;,49;9,3;,03;26;132;,994;2,99;,32;11;5
7,3;,155;,49;1,3;,039;34;136;,9926;3,14;,77;10,5;4
8,2;,24;,49;9,3;,038;52;163;,9952;3,02;,33;10,6;4
8,4;,23;,49;7,8;,035;22;95;,9935;3,04;,34;12;4
8,3;,2;,49;1,7;,04;34;169;,9938;3,05;,37;10,1;3
8,3;,2;,49;1,7;,038;38;167;,9939;3,05;,37;10,1;4
6,6;,3;,24;1,2;,034;17;121;,9933;3,13;,36;9,2;3
6,9;,21;,49;1,4;,041;15;164;,9927;3,25;,63;11;3
8;,25;,49;9;,044;31;185;,998;3,34;,49;10;4
6,6;,21;,49;18,15;,042;41;158;,9997;3,28;,39;8,7;4
7,2;,27;,74;12,5;,037;47;156;,9981;3,04;,44;8,7;3
7,9;,28;,49;7,7;,045;48;195;,9954;3,04;,55;11;4
7,4;,27;,49;1,1;,037;33;156;,992;3,15;,54;11,1;4
6,6;,21;,49;18,15;,042;41;158;,9997;3,28;,39;8,7;4
7,2;,27;,74;12,5;,037;47;156;,9981;3,04;,44;8,7;3
8,1;,3;,49;8,1;,037;26;174;,9943;3,1;,3;11,2;5
7,5;,23;,49;7,7;,049;61;209;,9941;3,14;,3;11,1;5
7,3;,26;,49;5;,028;32;107;,9936;3,24;,54;10,8;4
7,1;,18;,74;15,6;,044;44;176;,9996;3,38;,67;9;4
8,5;,15;,49;1,5;,031;17;122;,9932;3,03;,4;10,3;4
8,9;,13;,49;1;,028;6;24;,9926;2,91;,32;9,9;3
8,1;,28;,49;1;,04;32;148;,9936;3,13;,41;10;4
6;,17;,49;1;,034;26;106;,992;3,21;,42;9,8;4
7,3;,26;,49;5;,028;32;107;,9936;3,24;,54;10,8;4
7,1;,18;,74;15,6;,044;44;176;,9996;3,38;,67;9;4
7,2;,16;,49;1,3;,037;27;104;,9924;3,23;,57;10,6;4
7,3;,14;,49;1,1;,038;28;99;,9928;3,2;,72;10,6;4
8,9;,13;,49;1;,028;6;24;,9926;2,91;,32;9,9;3
7,9;,12;,49;5,2;,049;33;152;,9952;3,18;,47;10,6;4
6,7;,29;,49;4,7;,034;35;156;,9945;3,13;,45;9,9;4
6,7;,3;,49;4,8;,034;36;158;,9945;3,12;,45;9,9;4
8,5;,15;,49;1,5;,031;17;122;,9932;3,03;,4;10,3;4
6,6;,19;,99;1,2;,122;45;129;,9936;3,09;,31;8,7;4
7,3;,21;,49;1,8;,038;44;152;,9912;3,32;,44;12,6;5
6,9;,3;,49;7,6;,057;25;156;,9962;3,43;,63;11;5
7,9;,42;,49;8,2;,056;32;164;,9965;3,29;,6;11,2;5
7,6;,23;,49;10;,036;45;182;,9967;3,08;,58;9,6;4
8,8;,35;,49;1;,036;14;56;,992;2,96;,33;10,5;2
7,8;,3;,74;1,8;,033;33;156;,991;3,29;,52;12,8;4
9,1;,28;,49;2;,059;10;112;,9958;3,15;,46;10,1;3
7,8;,3;,74;1,8;,033;33;156;,991;3,29;,52;12,8;4
7,6;,18;,49;18,05;,046;36;158;,9996;3,06;,41;9,2;3
7,5;,19;,49;1,8;,055;19;110;,9946;3,33;,44;9,9;3
7,4;,3;,49;8,2;,055;49;188;,9974;3,52;,58;9,7;4
6,7;,3;,74;5;,038;35;157;,9945;3,21;,46;9,9;3
7,4;,3;,49;8,2;,055;49;188;,9974;3,52;,58;9,7;4
6,9;,22;,49;7;,063;50;168;,9957;3,54;,5;10,3;4
8,5;,17;,49;8,8;,048;23;108;,9947;2,88;,34;10,5;2
6,8;,17;,74;2,4;,053;61;182;,9953;3,63;,76;10,5;4
7,1;,64;,49;1,8;,05;17;128;,9946;3,31;,58;10,6;2
6,4;,18;,74;11,9;,046;54;168;,9978;3,58;,68;10,1;3
7,6;,31;,49;13,4;,062;50;191;,9989;3,22;,53;9;2
9,8;,31;,49;15,4;,046;13;119;1,0004;3,18;,45;9,5;3
9;,3;,49;7,2;,039;32;84;,9938;2,94;,32;11,5;4
8,4;,24;,49;7,4;,039;46;108;,9934;3,03;,33;11,9;5
6,4;,18;,74;11,9;,046;54;168;,9978;3,58;,68;10,1;3
6,4;,25;,74;7,8;,045;52;209;,9956;3,21;,42;9,2;4
7,3;,3;,74;13,5;,039;46;165;,9982;3,02;,4;8,7;3
9,3;,31;,49;1,3;,042;34;147;,9948;3,11;,46;9,8;3
6,4;,25;,74;7,8;,045;52;209;,9956;3,21;,42;9,2;4
7,3;,3;,74;13,5;,039;46;165;,9982;3,02;,4;8,7;3
6,4;,12;,49;6,4;,042;49;161;,9945;3,34;,44;10,4;4
6,8;,21;,74;1,2;,047;25;111;,9916;3,13;,41;10,7;4
8,6;,16;,49;7,3;,043;9;63;,9953;3,13;,59;10,5;4
7;,29;,49;3,8;,047;37;136;,9938;2,95;,4;9,4;4
6,4;,27;,49;7,3;,046;53;206;,9956;3,24;,43;9,2;4
6,6;,55;,01;2,7;,034;56;122;,9906;3,15;,3;11,9;3
6,4;,27;,49;7,3;,046;53;206;,9956;3,24;,43;9,2;4
6,7;,33;,49;1,6;,167;20;94;,9914;3,11;,5;11,4;4
7;,29;,49;3,8;,047;37;136;,9938;2,95;,4;9,4;4
8,2;,34;,49;8;,046;55;223;,996;3,08;,52;10,7;4
5,6;,39;,24;4,7;,034;27;77;,9906;3,28;,36;12,7;3
5,6;,41;,24;1,9;,034;10;53;,98815;3,32;,5;13,5;5
6,7;,41;,01;2,8;,048;39;137;,9942;3,24;,35;9,5;3
7,1;,26;,49;2,2;,032;31;113;,9903;3,37;,42;12,9;7
5,8;,19;,49;4,9;,04;44;118;,9935;3,34;,38;9,5;5
6,9;,27;,49;23,5;,057;59;235;1,0024;2,98;,47;8,6;3
7,5;,32;,49;1,7;,031;44;109;,9906;3,07;,46;12,5;4
8;,14;,49;1,5;,035;42;120;,9928;3,26;,4;10,6;5
8;,29;,49;11,7;,035;40;131;,9958;3,14;,34;10,8;3
7,5;,19;,49;1,6;,047;42;140;,9932;3,4;,47;10,7;4
6,9;,34;,49;7,3;,045;61;206;,9957;3,09;,4;9;4
6,4;,37;,49;13,3;,045;53;243;,9982;3,14;,48;8,5;4
7,8;,26;,49;3,2;,027;28;87;,9919;3,03;,32;11,3;5
8,9;,32;,49;1,6;,05;17;131;,9956;3,13;,34;9,4;3
7;,14;,49;5,9;,053;22;118;,9954;3,36;,36;9,4;4
6,4;,26;,49;6,4;,037;37;161;,9954;3,38;,53;9,7;4
9;,22;,49;10,4;,048;52;195;,9987;3,31;,44;10,2;4
8,9;,32;,49;1,6;,05;17;131;,9956;3,13;,34;9,4;3
6,9;,25;,24;1,8;,053;6;121;,993;3,23;,7;11,4;3
7,1;,28;,49;6,5;,041;28;111;,9926;3,41;,58;12,2;6
7,4;,19;,49;6,7;,037;15;110;,9938;3,2;,38;11;5
8,3;,25;,49;16,8;,048;50;228;1,0001;3,03;,52;9,2;4
7,5;,14;,74;1,6;,035;21;126;,9933;3,26;,45;10,2;4
7,8;,49;,49;7;,043;29;149;,9952;3,21;,33;10;3
8,1;,12;,49;1,2;,042;43;160;,9934;3,13;,48;9,7;4
